# EUCKP.TXT
0xD5A3	0x6EBA	# 溺
0xD5A4	0x4E43	# 乃
0xD5A5	0x5167	# 內
0xD5A6	0x5948	# 奈
0xD5A7	0x67F0	# 柰
0xD5A8	0x8010	# 耐
0xD5A9	0x60F1	# 惱
0xD5AA	0x8166	# 腦
0xD5AB	0x591A	# 多
0xD5AC	0x8336	# 茶
0xD5AD	0x4E39	# 丹
0xD5AE	0x4EB6	# 亶
0xD5AF	0x4F46	# 但
0xD5B0	0x55AE	# 單
0xD5B1	0x5718	# 團
0xD5B2	0x58C7	# 壇
0xD5B3	0x5F56	# 彖
0xD5B4	0x65B7	# 斷
0xD5B5	0x65E6	# 旦
0xD5B6	0x6A80	# 檀
0xD5B7	0x6BB5	# 段
0xD5B8	0x6E4D	# 湍
0xD5B9	0x77ED	# 短
0xD5BA	0x7AEF	# 端
0xD5BB	0x7C1E	# 簞
0xD5BC	0x7DDE	# 緞
0xD5BD	0x86CB	# 蛋
0xD5BE	0x8892	# 袒
0xD5BF	0x9132	# 鄲
0xD5C0	0x935B	# 鍛
0xD5C1	0x64BB	# 撻
0xD5C2	0x6FBE	# 澾
0xD5C3	0x6A7D	# 橽
0xD5C4	0x737A	# 獺
0xD5C5	0x75B8	# 疸
0xD5C6	0x9054	# 達
0xD5C7	0x5556	# 啖
0xD5C8	0x574D	# 坍
0xD5C9	0x61BA	# 憺
0xD5CA	0x64D4	# 擔
0xD5CB	0x66C7	# 曇
0xD5CC	0x6DE1	# 淡
0xD5CD	0x6E5B	# 湛
0xD5CE	0x6F6D	# 潭
0xD5CF	0x6FB9	# 澹
0xD5D0	0x75F0	# 痰
0xD5D1	0x8043	# 聃
0xD5D2	0x81BD	# 膽
0xD5D3	0x8541	# 蕁
0xD5D4	0x8983	# 覃
0xD5D5	0x8AC7	# 談
0xD5D6	0x8B5A	# 譚
0xD5D7	0x931F	# 錟
0xD5D8	0x6C93	# 沓
0xD5D9	0x7553	# 畓
0xD5DA	0x7B54	# 答
0xD5DB	0x8E0F	# 踏
0xD5DC	0x905D	# 遝
0xD5DD	0x5510	# 唐
0xD5DE	0x5802	# 堂
0xD5DF	0x5858	# 塘
0xD5E0	0x5E62	# 幢
0xD5E1	0x6207	# 戇
0xD5E2	0x649E	# 撞
0xD5E3	0x68E0	# 棠
0xD5E4	0x7576	# 當
0xD5E5	0x7CD6	# 糖
0xD5E6	0x87B3	# 螳
0xD5E7	0x9EE8	# 黨
0xD5E8	0x5FB7	# 德
0xD5E9	0x60B3	# 悳
0xD5EA	0x5012	# 倒
0xD5EB	0x515C	# 兜
0xD5EC	0x5200	# 刀
0xD5ED	0x5230	# 到
0xD5EE	0x5716	# 圖
0xD5EF	0x5835	# 堵
0xD5F0	0x5857	# 塗
0xD5F1	0x5C0E	# 導
0xD5F2	0x5C60	# 屠
0xD5F3	0x5CF6	# 島
0xD5F4	0x5D8B	# 嶋
0xD5F5	0x5EA6	# 度
0xD5F6	0x5F92	# 徒
0xD5F7	0x60BC	# 悼
0xD5F8	0x6311	# 挑
0xD5F9	0x6389	# 掉
0xD5FA	0x6417	# 搗
0xD5FB	0x6843	# 桃
0xD5FC	0x68F9	# 棹
0xD5FD	0x6AC2	# 櫂
0xD5FE	0x6DD8	# 淘
0xD6A1	0x6E21	# 渡
0xD6A2	0x6ED4	# 滔
0xD6A3	0x6FE4	# 濤
0xD6A4	0x71FE	# 燾
0xD6A5	0x76DC	# 盜
0xD6A6	0x7779	# 睹
0xD6A7	0x79B1	# 禱
0xD6A8	0x7A3B	# 稻
0xD6A9	0x8404	# 萄
0xD6AA	0x89A9	# 覩
0xD6AB	0x8CED	# 賭
0xD6AC	0x8DF3	# 跳
0xD6AD	0x8E48	# 蹈
0xD6AE	0x9003	# 逃
0xD6AF	0x9014	# 途
0xD6B0	0x9053	# 道
0xD6B1	0x90FD	# 都
0xD6B2	0x934D	# 鍍
0xD6B3	0x9676	# 陶
0xD6B4	0x97DC	# 韜
0xD6B5	0x6BD2	# 毒
0xD6B6	0x7006	# 瀆
0xD6B7	0x7258	# 牘
0xD6B8	0x72A2	# 犢
0xD6B9	0x7368	# 獨
0xD6BA	0x7763	# 督
0xD6BB	0x79BF	# 禿
0xD6BC	0x7BE4	# 篤
0xD6BD	0x7E9B	# 纛
0xD6BE	0x8B80	# 讀
0xD6BF	0x58A9	# 墩
0xD6C0	0x60C7	# 惇
0xD6C1	0x6566	# 敦
0xD6C2	0x65FD	# 旽
0xD6C3	0x66BE	# 暾
0xD6C4	0x6C8C	# 沌
0xD6C5	0x711E	# 焞
0xD6C6	0x71C9	# 燉
0xD6C7	0x7364	# 獤
0xD6C8	0x8C5A	# 豚
0xD6C9	0x9813	# 頓
0xD6CA	0x4E6D	# 乭
0xD6CB	0x5817	# 堗
0xD6CC	0x7A81	# 突
0xD6CD	0x4EDD	# 仝
0xD6CE	0x51AC	# 冬
0xD6CF	0x51CD	# 凍
0xD6D0	0x52D5	# 動
0xD6D1	0x540C	# 同
0xD6D2	0x61A7	# 憧
0xD6D3	0x6771	# 東
0xD6D4	0x6850	# 桐
0xD6D5	0x68DF	# 棟
0xD6D6	0x6D1E	# 洞
0xD6D7	0x6F7C	# 潼
0xD6D8	0x75BC	# 疼
0xD6D9	0x77B3	# 瞳
0xD6DA	0x7AE5	# 童
0xD6DB	0x80F4	# 胴
0xD6DC	0x8463	# 董
0xD6DD	0x9285	# 銅
0xD6DE	0x6597	# 斗
0xD6DF	0x675C	# 杜
0xD6E0	0x6793	# 枓
0xD6E1	0x75D8	# 痘
0xD6E2	0x7AC7	# 竇
0xD6E3	0x8373	# 荳
0xD6E4	0x8C46	# 豆
0xD6E5	0x9017	# 逗
0xD6E6	0x982D	# 頭
0xD6E7	0x5C6F	# 屯
0xD6E8	0x81C0	# 臀
0xD6E9	0x829A	# 芚
0xD6EA	0x9041	# 遁
0xD6EB	0x906F	# 遯
0xD6EC	0x920D	# 鈍
0xD6ED	0x5F97	# 得
0xD6EE	0x5D9D	# 嶝
0xD6EF	0x6A59	# 橙
0xD6F0	0x71C8	# 燈
0xD6F1	0x767B	# 登
0xD6F2	0x7B49	# 等
0xD6F3	0x85E4	# 藤
0xD6F4	0x8B04	# 謄
0xD6F5	0x9127	# 鄧
0xD6F6	0x9A30	# 騰
0xD6F7	0x4EE3	# 代
0xD6F8	0x5788	# 垈
0xD6F9	0x576E	# 坮
0xD6FA	0x5927	# 大
0xD6FB	0x5C0D	# 對
0xD6FC	0x5CB1	# 岱
0xD6FD	0x5E36	# 帶
0xD6FE	0x5F85	# 待
0xD7A1	0x6234	# 戴
0xD7A2	0x64E1	# 擡
0xD7A3	0x73B3	# 玳
0xD7A4	0x81FA	# 臺
0xD7A5	0x888B	# 袋
0xD7A6	0x8CB8	# 貸
0xD7A7	0x968A	# 隊
0xD7A8	0x9EDB	# 黛
0xD7A9	0x5587	# 喇
0xD7AA	0x61F6	# 懶
0xD7AB	0x7669	# 癩
0xD7AC	0x7F85	# 羅
0xD7AD	0x863F	# 蘿
0xD7AE	0x87BA	# 螺
0xD7AF	0x88F8	# 裸
0xD7B0	0x908F	# 邏
0xD7B1	0x6A02	# 樂
0xD7B2	0x6D1B	# 洛
0xD7B3	0x70D9	# 烙
0xD7B4	0x73DE	# 珞
0xD7B5	0x7D61	# 絡
0xD7B6	0x843D	# 落
0xD7B7	0x916A	# 酪
0xD7B8	0x99F1	# 駱
0xD7B9	0x4E82	# 亂
0xD7BA	0x5375	# 卵
0xD7BB	0x6B04	# 欄
0xD7BC	0x6B12	# 欒
0xD7BD	0x703E	# 瀾
0xD7BE	0x721B	# 爛
0xD7BF	0x862D	# 蘭
0xD7C0	0x9E1E	# 鸞
0xD7C1	0x524C	# 剌
0xD7C2	0x8FA3	# 辣
0xD7C3	0x5D50	# 嵐
0xD7C4	0x64E5	# 擥
0xD7C5	0x652C	# 攬
0xD7C6	0x6B16	# 欖
0xD7C7	0x6FEB	# 濫
0xD7C8	0x7C43	# 籃
0xD7C9	0x7E9C	# 纜
0xD7CA	0x85CD	# 藍
0xD7CB	0x8964	# 襤
0xD7CC	0x89BD	# 覽
0xD7CD	0x62C9	# 拉
0xD7CE	0x81D8	# 臘
0xD7CF	0x881F	# 蠟
0xD7D0	0x945E	# 鑞
0xD7D1	0x5A18	# 娘
0xD7D2	0x5ECA	# 廊
0xD7D3	0x6717	# 朗
0xD7D4	0x6D6A	# 浪
0xD7D5	0x72FC	# 狼
0xD7D6	0x7405	# 琅
0xD7D7	0x746F	# 瑯
0xD7D8	0x8782	# 螂
0xD7D9	0x90DE	# 郞
0xD7DA	0x63A0	# 掠
0xD7DB	0x7565	# 略
0xD7DC	0x4EAE	# 亮
0xD7DD	0x5006	# 倆
0xD7DE	0x5169	# 兩
0xD7DF	0x51C9	# 凉
0xD7E0	0x6881	# 梁
0xD7E1	0x6A11	# 樑
0xD7E2	0x7CAE	# 粮
0xD7E3	0x7CB1	# 粱
0xD7E4	0x7CE7	# 糧
0xD7E5	0x826F	# 良
0xD7E6	0x8AD2	# 諒
0xD7E7	0x8F1B	# 輛
0xD7E8	0x91CF	# 量
0xD7E9	0x4FB6	# 侶
0xD7EA	0x5137	# 儷
0xD7EB	0x52F5	# 勵
0xD7EC	0x53B2	# 厲
0xD7ED	0x5442	# 呂
0xD7EE	0x5EEC	# 廬
0xD7EF	0x616E	# 慮
0xD7F0	0x623E	# 戾
0xD7F1	0x65C5	# 旅
0xD7F2	0x6ADA	# 櫚
0xD7F3	0x6FFE	# 濾
0xD7F4	0x792A	# 礪
0xD7F5	0x85DC	# 藜
0xD7F6	0x8823	# 蠣
0xD7F7	0x95AD	# 閭
0xD7F8	0x9A62	# 驢
0xD7F9	0x9A6A	# 驪
0xD7FA	0x9E97	# 麗
0xD7FB	0x9ECE	# 黎
0xD7FC	0x529B	# 力
0xD7FD	0x66C6	# 曆
0xD7FE	0x6B77	# 歷
0xD8A1	0x701D	# 瀝
0xD8A2	0x792B	# 礫
0xD8A3	0x9742	# 靂
0xD8A4	0x6190	# 憐
0xD8A5	0x6200	# 戀
0xD8A6	0x6523	# 攣
0xD8A7	0x6F23	# 漣
0xD8A8	0x7149	# 煉
0xD8A9	0x7489	# 璉
0xD8AA	0x7DF4	# 練
0xD8AB	0x806F	# 聯
0xD8AC	0x84EE	# 蓮
0xD8AD	0x8F26	# 輦
0xD8AE	0x9023	# 連
0xD8AF	0x934A	# 鍊
0xD8B0	0x51BD	# 冽
0xD8B1	0x5217	# 列
0xD8B2	0x52A3	# 劣
0xD8B3	0x6D0C	# 洌
0xD8B4	0x70C8	# 烈
0xD8B5	0x88C2	# 裂
0xD8B6	0x5EC9	# 廉
0xD8B7	0x6582	# 斂
0xD8B8	0x6BAE	# 殮
0xD8B9	0x6FC2	# 濂
0xD8BA	0x7C3E	# 簾
0xD8BB	0x7375	# 獵
0xD8BC	0x4EE4	# 令
0xD8BD	0x4F36	# 伶
0xD8BE	0x56F9	# 囹
0xD8BF	0x5CBA	# 岺
0xD8C0	0x5DBA	# 嶺
0xD8C1	0x601C	# 怜
0xD8C2	0x73B2	# 玲
0xD8C3	0x7B2D	# 笭
0xD8C4	0x7F9A	# 羚
0xD8C5	0x7FCE	# 翎
0xD8C6	0x8046	# 聆
0xD8C7	0x901E	# 逞
0xD8C8	0x9234	# 鈴
0xD8C9	0x96F6	# 零
0xD8CA	0x9748	# 靈
0xD8CB	0x9818	# 領
0xD8CC	0x9F61	# 齡
0xD8CD	0x52DE	# 勞
0xD8CE	0x6488	# 撈
0xD8CF	0x64C4	# 擄
0xD8D0	0x6AD3	# 櫓
0xD8D1	0x6F5E	# 潞
0xD8D2	0x7018	# 瀘
0xD8D3	0x7210	# 爐
0xD8D4	0x76E7	# 盧
0xD8D5	0x8001	# 老
0xD8D6	0x8606	# 蘆
0xD8D7	0x865C	# 虜
0xD8D8	0x8DEF	# 路
0xD8D9	0x8F05	# 輅
0xD8DA	0x9732	# 露
0xD8DB	0x9B6F	# 魯
0xD8DC	0x9DFA	# 鷺
0xD8DD	0x9E75	# 鹵
0xD8DE	0x788C	# 碌
0xD8DF	0x797F	# 祿
0xD8E0	0x7DA0	# 綠
0xD8E1	0x83C9	# 菉
0xD8E2	0x9304	# 錄
0xD8E3	0x9E7F	# 鹿
0xD8E4	0x9E93	# 麓
0xD8E5	0x8AD6	# 論
0xD8E6	0x58DF	# 壟
0xD8E7	0x5F04	# 弄
0xD8E8	0x6727	# 朧
0xD8E9	0x7027	# 瀧
0xD8EA	0x74CF	# 瓏
0xD8EB	0x7C60	# 籠
0xD8EC	0x807E	# 聾
0xD8ED	0x4E86	# 了
0xD8EE	0x50DA	# 僚
0xD8EF	0x5BEE	# 寮
0xD8F0	0x5ED6	# 廖
0xD8F1	0x6599	# 料
0xD8F2	0x71CE	# 燎
0xD8F3	0x7642	# 療
0xD8F4	0x77AD	# 瞭
0xD8F5	0x804A	# 聊
0xD8F6	0x84FC	# 蓼
0xD8F7	0x907C	# 遼
0xD8F8	0x9F8D	# 龍
0xD8F9	0x58D8	# 壘
0xD8FA	0x5A41	# 婁
0xD8FB	0x5C62	# 屢
0xD8FC	0x6A13	# 樓
0xD8FD	0x6DDA	# 淚
0xD8FE	0x6F0F	# 漏
0xD9A1	0x763B	# 瘻
0xD9A2	0x7D2F	# 累
0xD9A3	0x7E37	# 縷
0xD9A4	0x851E	# 蔞
0xD9A5	0x8938	# 褸
0xD9A6	0x93E4	# 鏤
0xD9A7	0x964B	# 陋
0xD9A8	0x5289	# 劉
0xD9A9	0x65D2	# 旒
0xD9AA	0x67F3	# 柳
0xD9AB	0x69B4	# 榴
0xD9AC	0x6D41	# 流
0xD9AD	0x6E9C	# 溜
0xD9AE	0x700F	# 瀏
0xD9AF	0x7409	# 琉
0xD9B0	0x7460	# 瑠
0xD9B1	0x7559	# 留
0xD9B2	0x7624	# 瘤
0xD9B3	0x786B	# 硫
0xD9B4	0x8B2C	# 謬
0xD9B5	0x985E	# 類
0xD9B6	0x516D	# 六
0xD9B7	0x622E	# 戮
0xD9B8	0x9678	# 陸
0xD9B9	0x4F96	# 侖
0xD9BA	0x502B	# 倫
0xD9BB	0x5D19	# 崙
0xD9BC	0x6DEA	# 淪
0xD9BD	0x7DB8	# 綸
0xD9BE	0x8F2A	# 輪
0xD9BF	0x5F8B	# 律
0xD9C0	0x6144	# 慄
0xD9C1	0x6817	# 栗
0xD9C2	0x9686	# 隆
0xD9C3	0x52D2	# 勒
0xD9C4	0x808B	# 肋
0xD9C5	0x8F62	# 轢
0xD9C6	0x51DC	# 凜
0xD9C7	0x51CC	# 凌
0xD9C8	0x695E	# 楞
0xD9C9	0x7A1C	# 稜
0xD9CA	0x7DBE	# 綾
0xD9CB	0x83F1	# 菱
0xD9CC	0x9675	# 陵
0xD9CD	0x4FDA	# 俚
0xD9CE	0x5229	# 利
0xD9CF	0x5398	# 厘
0xD9D0	0x540F	# 吏
0xD9D1	0x550E	# 唎
0xD9D2	0x5C65	# 履
0xD9D3	0x60A7	# 悧
0xD9D4	0x674E	# 李
0xD9D5	0x68A8	# 梨
0xD9D6	0x6D6C	# 浬
0xD9D7	0x7281	# 犁
0xD9D8	0x72F8	# 狸
0xD9D9	0x7406	# 理
0xD9DA	0x7483	# 璃
0xD9DB	0x75E2	# 痢
0xD9DC	0x7C6C	# 籬
0xD9DD	0x7F79	# 罹
0xD9DE	0x7FB8	# 羸
0xD9DF	0x8389	# 莉
0xD9E0	0x88CF	# 裏
0xD9E1	0x88E1	# 裡
0xD9E2	0x91CC	# 里
0xD9E3	0x91D0	# 釐
0xD9E4	0x96E2	# 離
0xD9E5	0x9BC9	# 鯉
0xD9E6	0x541D	# 吝
0xD9E7	0x6F7E	# 潾
0xD9E8	0x71D0	# 燐
0xD9E9	0x7498	# 璘
0xD9EA	0x85FA	# 藺
0xD9EB	0x8EAA	# 躪
0xD9EC	0x96A3	# 隣
0xD9ED	0x9C57	# 鱗
0xD9EE	0x9E9F	# 麟
0xD9EF	0x6797	# 林
0xD9F0	0x6DCB	# 淋
0xD9F1	0x7433	# 琳
0xD9F2	0x81E8	# 臨
0xD9F3	0x9716	# 霖
0xD9F4	0x782C	# 砬
0xD9F5	0x7ACB	# 立
0xD9F6	0x7B20	# 笠
0xD9F7	0x7C92	# 粒
0xD9F8	0x4F86	# 來
0xD9F9	0x5D0D	# 崍
0xD9FA	0x5FA0	# 徠
0xD9FB	0x840A	# 萊
0xD9FC	0x51B7	# 冷
0xD9FD	0x4F8B	# 例
0xD9FE	0x6FA7	# 澧
0xDAA1	0x79AE	# 禮
0xDAA2	0x91B4	# 醴
0xDAA3	0x5121	# 儡
0xDAA4	0x7028	# 瀨
0xDAA5	0x7262	# 牢
0xDAA6	0x78CA	# 磊
0xDAA7	0x8CC2	# 賂
0xDAA8	0x8CDA	# 賚
0xDAA9	0x8CF4	# 賴
0xDAAA	0x96F7	# 雷
0xDAAB	0x6469	# 摩
0xDAAC	0x746A	# 瑪
0xDAAD	0x75F2	# 痲
0xDAAE	0x78BC	# 碼
0xDAAF	0x78E8	# 磨
0xDAB0	0x99AC	# 馬
0xDAB1	0x9B54	# 魔
0xDAB2	0x9EBB	# 麻
0xDAB3	0x5BDE	# 寞
0xDAB4	0x5E55	# 幕
0xDAB5	0x6F20	# 漠
0xDAB6	0x819C	# 膜
0xDAB7	0x83AB	# 莫
0xDAB8	0x9088	# 邈
0xDAB9	0x4E07	# 万
0xDABA	0x534D	# 卍
0xDABB	0x5A29	# 娩
0xDABC	0x5DD2	# 巒
0xDABD	0x5F4E	# 彎
0xDABE	0x6162	# 慢
0xDABF	0x633D	# 挽
0xDAC0	0x6669	# 晩
0xDAC1	0x66FC	# 曼
0xDAC2	0x6EFF	# 滿
0xDAC3	0x6F2B	# 漫
0xDAC4	0x7063	# 灣
0xDAC5	0x779E	# 瞞
0xDAC6	0x842C	# 萬
0xDAC7	0x8513	# 蔓
0xDAC8	0x883B	# 蠻
0xDAC9	0x8B3E	# 謾
0xDACA	0x8F13	# 輓
0xDACB	0x9945	# 饅
0xDACC	0x9C3B	# 鰻
0xDACD	0x551C	# 唜
0xDACE	0x62B9	# 抹
0xDACF	0x672B	# 末
0xDAD0	0x6CAB	# 沫
0xDAD1	0x8309	# 茉
0xDAD2	0x896A	# 襪
0xDAD3	0x977A	# 靺
0xDAD4	0x4EA1	# 亡
0xDAD5	0x5984	# 妄
0xDAD6	0x5FD8	# 忘
0xDAD7	0x5FD9	# 忙
0xDAD8	0x671B	# 望
0xDAD9	0x7DB2	# 網
0xDADA	0x7F54	# 罔
0xDADB	0x8292	# 芒
0xDADC	0x832B	# 茫
0xDADD	0x83BD	# 莽
0xDADE	0x8F1E	# 輞
0xDADF	0x9099	# 邙
0xDAE0	0x51AA	# 冪
0xDAE1	0x8993	# 覓
0xDAE2	0x514D	# 免
0xDAE3	0x5195	# 冕
0xDAE4	0x52C9	# 勉
0xDAE5	0x68C9	# 棉
0xDAE6	0x6C94	# 沔
0xDAE7	0x7704	# 眄
0xDAE8	0x7720	# 眠
0xDAE9	0x7DBF	# 綿
0xDAEA	0x7DEC	# 緬
0xDAEB	0x9762	# 面
0xDAEC	0x9EB5	# 麵
0xDAED	0x6EC5	# 滅
0xDAEE	0x8511	# 蔑
0xDAEF	0x51A5	# 冥
0xDAF0	0x540D	# 名
0xDAF1	0x547D	# 命
0xDAF2	0x660E	# 明
0xDAF3	0x669D	# 暝
0xDAF4	0x6927	# 椧
0xDAF5	0x6E9F	# 溟
0xDAF6	0x76BF	# 皿
0xDAF7	0x7791	# 瞑
0xDAF8	0x8317	# 茗
0xDAF9	0x84C2	# 蓂
0xDAFA	0x879F	# 螟
0xDAFB	0x9169	# 酩
0xDAFC	0x9298	# 銘
0xDAFD	0x9CF4	# 鳴
0xDAFE	0x4FAE	# 侮
0xDBA1	0x5192	# 冒
0xDBA2	0x52DF	# 募
0xDBA3	0x59C6	# 姆
0xDBA4	0x5E3D	# 帽
0xDBA5	0x6155	# 慕
0xDBA6	0x6478	# 摸
0xDBA7	0x6479	# 摹
0xDBA8	0x66AE	# 暮
0xDBA9	0x67D0	# 某
0xDBAA	0x6A21	# 模
0xDBAB	0x6BCD	# 母
0xDBAC	0x6BDB	# 毛
0xDBAD	0x725F	# 牟
0xDBAE	0x7261	# 牡
0xDBAF	0x7441	# 瑁
0xDBB0	0x7738	# 眸
0xDBB1	0x77DB	# 矛
0xDBB2	0x8017	# 耗
0xDBB3	0x82BC	# 芼
0xDBB4	0x8305	# 茅
0xDBB5	0x8B00	# 謀
0xDBB6	0x8B28	# 謨
0xDBB7	0x8C8C	# 貌
0xDBB8	0x6728	# 木
0xDBB9	0x6C90	# 沐
0xDBBA	0x7267	# 牧
0xDBBB	0x76EE	# 目
0xDBBC	0x7766	# 睦
0xDBBD	0x7A46	# 穆
0xDBBE	0x9DA9	# 鶩
0xDBBF	0x6B7F	# 歿
0xDBC0	0x6C92	# 沒
0xDBC1	0x5922	# 夢
0xDBC2	0x6726	# 朦
0xDBC3	0x8499	# 蒙
0xDBC4	0x536F	# 卯
0xDBC5	0x5893	# 墓
0xDBC6	0x5999	# 妙
0xDBC7	0x5EDF	# 廟
0xDBC8	0x63CF	# 描
0xDBC9	0x6634	# 昴
0xDBCA	0x6773	# 杳
0xDBCB	0x6E3A	# 渺
0xDBCC	0x732B	# 猫
0xDBCD	0x755D	# 畝
0xDBCE	0x7AD7	# 竗
0xDBCF	0x82D7	# 苗
0xDBD0	0x9328	# 錨
0xDBD1	0x52D9	# 務
0xDBD2	0x5DEB	# 巫
0xDBD3	0x61AE	# 憮
0xDBD4	0x61CB	# 懋
0xDBD5	0x620A	# 戊
0xDBD6	0x62C7	# 拇
0xDBD7	0x64AB	# 撫
0xDBD8	0x65E0	# 无
0xDBD9	0x6959	# 楙
0xDBDA	0x6B66	# 武
0xDBDB	0x6BCB	# 毋
0xDBDC	0x7121	# 無
0xDBDD	0x73F7	# 珷
0xDBDE	0x7E46	# 繆
0xDBDF	0x821E	# 舞
0xDBE0	0x8302	# 茂
0xDBE1	0x856A	# 蕪
0xDBE2	0x8AA3	# 誣
0xDBE3	0x8CBF	# 貿
0xDBE4	0x9727	# 霧
0xDBE5	0x9D61	# 鵡
0xDBE6	0x58A8	# 墨
0xDBE7	0x9ED8	# 默
0xDBE8	0x5011	# 們
0xDBE9	0x520E	# 刎
0xDBEA	0x543B	# 吻
0xDBEB	0x554F	# 問
0xDBEC	0x6587	# 文
0xDBED	0x6C76	# 汶
0xDBEE	0x7D0A	# 紊
0xDBEF	0x7D0B	# 紋
0xDBF0	0x805E	# 聞
0xDBF1	0x868A	# 蚊
0xDBF2	0x9580	# 門
0xDBF3	0x96EF	# 雯
0xDBF4	0x52FF	# 勿
0xDBF5	0x7269	# 物
0xDBF6	0x5473	# 味
0xDBF7	0x5A9A	# 媚
0xDBF8	0x5C3E	# 尾
0xDBF9	0x5D4B	# 嵋
0xDBFA	0x5F4C	# 彌
0xDBFB	0x5FAE	# 微
0xDBFC	0x672A	# 未
0xDBFD	0x68B6	# 梶
0xDBFE	0x6963	# 楣
0xDCA1	0x6E3C	# 渼
0xDCA2	0x6E44	# 湄
0xDCA3	0x7709	# 眉
0xDCA4	0x7C73	# 米
0xDCA5	0x7F8E	# 美
0xDCA6	0x8587	# 薇
0xDCA7	0x8B0E	# 謎
0xDCA8	0x8FF7	# 迷
0xDCA9	0x9761	# 靡
0xDCAA	0x9EF4	# 黴
0xDCAB	0x5CB7	# 岷
0xDCAC	0x60B6	# 悶
0xDCAD	0x610D	# 愍
0xDCAE	0x61AB	# 憫
0xDCAF	0x654F	# 敏
0xDCB0	0x65FB	# 旻
0xDCB1	0x65FC	# 旼
0xDCB2	0x6C11	# 民
0xDCB3	0x6CEF	# 泯
0xDCB4	0x739F	# 玟
0xDCB5	0x73C9	# 珉
0xDCB6	0x7DE1	# 緡
0xDCB7	0x9594	# 閔
0xDCB8	0x5BC6	# 密
0xDCB9	0x871C	# 蜜
0xDCBA	0x8B10	# 謐
0xDCBB	0x57CB	# 埋
0xDCBC	0x59B9	# 妹
0xDCBD	0x5A92	# 媒
0xDCBE	0x5BD0	# 寐
0xDCBF	0x6627	# 昧
0xDCC0	0x679A	# 枚
0xDCC1	0x6885	# 梅
0xDCC2	0x6BCF	# 每
0xDCC3	0x6C95	# 沕
0xDCC4	0x7164	# 煤
0xDCC5	0x7F75	# 罵
0xDCC6	0x8CB7	# 買
0xDCC7	0x8CE3	# 賣
0xDCC8	0x9081	# 邁
0xDCC9	0x9B45	# 魅
0xDCCA	0x8108	# 脈
0xDCCB	0x8C8A	# 貊
0xDCCC	0x964C	# 陌
0xDCCD	0x9A40	# 驀
0xDCCE	0x9EA5	# 麥
0xDCCF	0x5B5F	# 孟
0xDCD0	0x6C13	# 氓
0xDCD1	0x731B	# 猛
0xDCD2	0x76DF	# 盟
0xDCD3	0x76F2	# 盲
0xDCD4	0x840C	# 萌
0xDCD5	0x8882	# 袂
0xDCD6	0x525D	# 剝
0xDCD7	0x535A	# 博
0xDCD8	0x62CD	# 拍
0xDCD9	0x640F	# 搏
0xDCDA	0x64B2	# 撲
0xDCDB	0x6734	# 朴
0xDCDC	0x6A38	# 樸
0xDCDD	0x6CCA	# 泊
0xDCDE	0x73C0	# 珀
0xDCDF	0x749E	# 璞
0xDCE0	0x7B94	# 箔
0xDCE1	0x7C95	# 粕
0xDCE2	0x7E1B	# 縛
0xDCE3	0x818A	# 膊
0xDCE4	0x8236	# 舶
0xDCE5	0x8584	# 薄
0xDCE6	0x8FEB	# 迫
0xDCE7	0x96F9	# 雹
0xDCE8	0x99C1	# 駁
0xDCE9	0x4F34	# 伴
0xDCEA	0x534A	# 半
0xDCEB	0x53CD	# 反
0xDCEC	0x53DB	# 叛
0xDCED	0x62CC	# 拌
0xDCEE	0x642C	# 搬
0xDCEF	0x6500	# 攀
0xDCF0	0x6591	# 斑
0xDCF1	0x69C3	# 槃
0xDCF2	0x6CEE	# 泮
0xDCF3	0x6F58	# 潘
0xDCF4	0x73ED	# 班
0xDCF5	0x7554	# 畔
0xDCF6	0x7622	# 瘢
0xDCF7	0x76E4	# 盤
0xDCF8	0x76FC	# 盼
0xDCF9	0x78D0	# 磐
0xDCFA	0x78FB	# 磻
0xDCFB	0x792C	# 礬
0xDCFC	0x7D46	# 絆
0xDCFD	0x822C	# 般
0xDCFE	0x87E0	# 蟠
0xDDA1	0x8FD4	# 返
0xDDA2	0x9812	# 頒
0xDDA3	0x98EF	# 飯
0xDDA4	0x52C3	# 勃
0xDDA5	0x62D4	# 拔
0xDDA6	0x64A5	# 撥
0xDDA7	0x6E24	# 渤
0xDDA8	0x6F51	# 潑
0xDDA9	0x767C	# 發
0xDDAA	0x8DCB	# 跋
0xDDAB	0x91B1	# 醱
0xDDAC	0x9262	# 鉢
0xDDAD	0x9AEE	# 髮
0xDDAE	0x9B43	# 魃
0xDDAF	0x5023	# 倣
0xDDB0	0x508D	# 傍
0xDDB1	0x574A	# 坊
0xDDB2	0x59A8	# 妨
0xDDB3	0x5C28	# 尨
0xDDB4	0x5E47	# 幇
0xDDB5	0x5F77	# 彷
0xDDB6	0x623F	# 房
0xDDB7	0x653E	# 放
0xDDB8	0x65B9	# 方
0xDDB9	0x65C1	# 旁
0xDDBA	0x6609	# 昉
0xDDBB	0x678B	# 枋
0xDDBC	0x699C	# 榜
0xDDBD	0x6EC2	# 滂
0xDDBE	0x78C5	# 磅
0xDDBF	0x7D21	# 紡
0xDDC0	0x80AA	# 肪
0xDDC1	0x8180	# 膀
0xDDC2	0x822B	# 舫
0xDDC3	0x82B3	# 芳
0xDDC4	0x84A1	# 蒡
0xDDC5	0x868C	# 蚌
0xDDC6	0x8A2A	# 訪
